,FID,OID_,lat,lon
0,0,0,33.625,111.875
1,1,0,33.875,107.875
2,2,0,33.875,108.125
3,3,0,33.875,108.375
4,4,0,33.875,108.625
5,5,0,33.875,108.875
6,6,0,33.875,112.125
7,7,0,34.125,105.625
8,8,0,34.125,106.375
9,9,0,34.125,107.875
10,10,0,34.125,108.125
11,11,0,34.125,108.375
12,12,0,34.125,108.625
13,13,0,34.125,108.875
14,14,0,34.125,109.125
15,15,0,34.125,109.375
16,16,0,34.125,109.625
17,17,0,34.125,111.375
18,18,0,34.125,111.875
19,19,0,34.125,112.125
20,20,0,34.375,105.625
21,21,0,34.375,105.875
22,22,0,34.375,106.125
23,23,0,34.375,106.375
24,24,0,34.375,106.625
25,25,0,34.375,106.875
26,26,0,34.375,107.125
27,27,0,34.375,107.375
28,28,0,34.375,107.625
29,29,0,34.375,107.875
30,30,0,34.375,108.125
31,31,0,34.375,108.375
32,32,0,34.375,108.625
33,33,0,34.375,108.875
34,34,0,34.375,109.125
35,35,0,34.375,109.375
36,36,0,34.375,109.625
37,37,0,34.375,109.875
38,38,0,34.375,110.625
39,39,0,34.375,110.875
40,40,0,34.375,111.375
41,41,0,34.375,111.625
42,42,0,34.375,111.875
43,43,0,34.375,112.125
44,44,0,34.375,112.375
45,45,0,34.375,112.625
46,46,0,34.625,104.375
47,47,0,34.625,104.625
48,48,0,34.625,104.875
49,49,0,34.625,105.125
50,50,0,34.625,105.375
51,51,0,34.625,105.625
52,52,0,34.625,105.875
53,53,0,34.625,106.125
54,54,0,34.625,106.375
55,55,0,34.625,106.625
56,56,0,34.625,106.875
57,57,0,34.625,107.125
58,58,0,34.625,107.375
59,59,0,34.625,107.625
60,60,0,34.625,107.875
61,61,0,34.625,108.125
62,62,0,34.625,108.375
63,63,0,34.625,108.625
64,64,0,34.625,108.875
65,65,0,34.625,109.125
66,66,0,34.625,109.375
67,67,0,34.625,109.625
68,68,0,34.625,109.875
69,69,0,34.625,110.125
70,70,0,34.625,110.375
71,71,0,34.625,110.625
72,72,0,34.625,110.875
73,73,0,34.625,111.125
74,74,0,34.625,111.375
75,75,0,34.625,111.625
76,76,0,34.625,111.875
77,77,0,34.625,112.125
78,78,0,34.625,112.375
79,79,0,34.625,112.625
80,80,0,34.625,112.875
81,81,0,34.625,113.125
82,82,0,34.875,104.125
83,83,0,34.875,104.375
84,84,0,34.875,104.625
85,85,0,34.875,104.875
86,86,0,34.875,105.125
87,87,0,34.875,105.375
88,88,0,34.875,105.625
89,89,0,34.875,105.875
90,90,0,34.875,106.125
91,91,0,34.875,106.375
92,92,0,34.875,106.625
93,93,0,34.875,106.875
94,94,0,34.875,107.125
95,95,0,34.875,107.375
96,96,0,34.875,107.625
97,97,0,34.875,107.875
98,98,0,34.875,108.125
99,99,0,34.875,108.375
100,100,0,34.875,108.625
101,101,0,34.875,108.875
102,102,0,34.875,109.125
103,103,0,34.875,109.375
104,104,0,34.875,109.625
105,105,0,34.875,109.875
106,106,0,34.875,110.125
107,107,0,34.875,110.375
108,108,0,34.875,110.625
109,109,0,34.875,110.875
110,110,0,34.875,111.125
111,111,0,34.875,111.375
112,112,0,34.875,111.625
113,113,0,34.875,111.875
114,114,0,34.875,112.125
115,115,0,34.875,112.375
116,116,0,34.875,113.375
117,117,0,35.125,102.125
118,118,0,35.125,103.625
119,119,0,35.125,103.875
120,120,0,35.125,104.125
121,121,0,35.125,104.375
122,122,0,35.125,104.625
123,123,0,35.125,104.875
124,124,0,35.125,105.125
125,125,0,35.125,105.375
126,126,0,35.125,105.625
127,127,0,35.125,105.875
128,128,0,35.125,106.125
129,129,0,35.125,106.375
130,130,0,35.125,106.625
131,131,0,35.125,106.875
132,132,0,35.125,107.125
133,133,0,35.125,107.375
134,134,0,35.125,107.625
135,135,0,35.125,107.875
136,136,0,35.125,108.125
137,137,0,35.125,108.375
138,138,0,35.125,108.625
139,139,0,35.125,108.875
140,140,0,35.125,109.125
141,141,0,35.125,109.375
142,142,0,35.125,109.625
143,143,0,35.125,109.875
144,144,0,35.125,110.125
145,145,0,35.125,110.375
146,146,0,35.125,110.625
147,147,0,35.125,110.875
148,148,0,35.125,111.125
149,149,0,35.125,111.375
150,150,0,35.125,111.625
151,151,0,35.125,111.875
152,152,0,35.125,112.125
153,153,0,35.125,112.375
154,154,0,35.125,112.625
155,155,0,35.375,101.875
156,156,0,35.375,102.125
157,157,0,35.375,103.125
158,158,0,35.375,103.375
159,159,0,35.375,103.625
160,160,0,35.375,103.875
161,161,0,35.375,104.125
162,162,0,35.375,104.375
163,163,0,35.375,104.625
164,164,0,35.375,104.875
165,165,0,35.375,105.125
166,166,0,35.375,105.375
167,167,0,35.375,105.625
168,168,0,35.375,105.875
169,169,0,35.375,106.125
170,170,0,35.375,106.375
171,171,0,35.375,106.625
172,172,0,35.375,106.875
173,173,0,35.375,107.125
174,174,0,35.375,107.375
175,175,0,35.375,107.625
176,176,0,35.375,107.875
177,177,0,35.375,108.125
178,178,0,35.375,108.375
179,179,0,35.375,108.625
180,180,0,35.375,108.875
181,181,0,35.375,109.125
182,182,0,35.375,109.375
183,183,0,35.375,109.625
184,184,0,35.375,109.875
185,185,0,35.375,110.125
186,186,0,35.375,110.375
187,187,0,35.375,110.625
188,188,0,35.375,110.875
189,189,0,35.375,111.125
190,190,0,35.375,111.375
191,191,0,35.375,111.625
192,192,0,35.375,111.875
193,193,0,35.375,112.125
194,194,0,35.375,112.375
195,195,0,35.375,112.625
196,196,0,35.375,112.875
197,197,0,35.375,113.125
198,198,0,35.625,101.625
199,199,0,35.625,101.875
200,200,0,35.625,102.125
201,201,0,35.625,102.375
202,202,0,35.625,102.625
203,203,0,35.625,102.875
204,204,0,35.625,103.125
205,205,0,35.625,103.375
206,206,0,35.625,103.625
207,207,0,35.625,103.875
208,208,0,35.625,104.125
209,209,0,35.625,104.375
210,210,0,35.625,104.625
211,211,0,35.625,104.875
212,212,0,35.625,105.125
213,213,0,35.625,105.375
214,214,0,35.625,105.625
215,215,0,35.625,105.875
216,216,0,35.625,106.125
217,217,0,35.625,106.375
218,218,0,35.625,106.625
